"Andorra la Vella, Andorra","D (Temperate), B1 (Cold Summer)","F (Subarctic), C2 (Very Cold Summer)","Z (Ultratropical), D (Arid Desert), X1 (Extreme Hyperthermal Summer)"
"Ankara, Turkey","D (Temperate), S (Semiarid), A1 (Hot Summer)","D (Temperate), G (Semihumid), A1 (Hot Summer)","C (Subtropical), G (Semihumid), A1 (Hot Summer)"
"Annapolis, MD","C (Subtropical), H (Humid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Antananarivo, Madagascar","B (Tropical), W (Monsoon), A1 (Hot Summer)","B (Tropical), M (Mediterranean), A1 (Hot Summer)","B (Tropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Apia, Samoa","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), G (Semihumid), A2 (Very Hot Summer)","A (Supertropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Arviat, NU","G (Arctic), B1 (Cold Summer)","F (Subarctic), C1 (Freezing Summer)","Z (Ultratropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Ashgabat, Turkmenistan","C (Subtropical), D (Arid Desert), A2 (Very Hot Summer)","C (Subtropical), S (Semiarid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Asmara, Eritrea","B (Tropical), W (Monsoon), B2 (Mild Summer)","C (Subtropical), H (Humid), A2 (Very Hot Summer)","B (Tropical), D (Arid Desert), A2 (Very Hot Summer)"
"Astana, Kazakhstan","E (Continental), S (Semiarid), A1 (Hot Summer)","D (Temperate), H (Humid), B1 (Cold Summer)","D (Temperate), S (Semiarid), A2 (Very Hot Summer)"
"Asunción, Paraguay","B (Tropical), G (Semihumid), A2 (Very Hot Summer)","B (Tropical), D (Arid Desert), A2 (Very Hot Summer)","B (Tropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Athens, Greece","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Atlanta, GA","C (Subtropical), H (Humid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)","C (Subtropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Augusta, ME","D (Temperate), H (Humid), A1 (Hot Summer)","D (Temperate), H (Humid), A1 (Hot Summer)","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)"
"Austin, TX","C (Subtropical), S (Semiarid), A2 (Very Hot Summer)","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Avarua, Cook Islands (NZ)","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), G (Semihumid), A2 (Very Hot Summer)","A (Supertropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Badger, AK","F (Subarctic), B2 (Mild Summer)","F (Subarctic), S (Semiarid), B2 (Mild Summer)","E (Continental), S (Semiarid), A1 (Hot Summer)"
"Baghdad, Iraq","C (Subtropical), D (Arid Desert), Z1 (Scorching Hot Summer)","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)","B (Tropical), M (Mediterranean), A1 (Hot Summer)"
"Baker Lake, NU","G (Arctic), B1 (Cold Summer)","F (Subarctic), C1 (Freezing Summer)","Z (Ultratropical), H (Humid), Z1 (Scorching Hot Summer)"
"Baku, Azerbaijan","C (Subtropical), D (Arid Desert), A2 (Very Hot Summer)","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Baltimore, MD","C (Subtropical), H (Humid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)","C (Subtropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Bamako, Mali","A (Supertropical), W (Monsoon), Z1 (Scorching Hot Summer)","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), H (Humid), Z1 (Scorching Hot Summer)"
"Bandar Seri Begawan, Brunei","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), W (Monsoon), Z1 (Scorching Hot Summer)"
"Bangalore, India","A (Supertropical), S (Semiarid), A2 (Very Hot Summer)","A (Supertropical), D (Arid Desert), A2 (Very Hot Summer)","A (Supertropical), H (Humid), A2 (Very Hot Summer)"
"Bangkok, Thailand","A (Supertropical), S (Semiarid), Z1 (Scorching Hot Summer)","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), H (Humid), Z1 (Scorching Hot Summer)"
"Bangui, Central African Republic","A (Supertropical), G (Semihumid), A2 (Very Hot Summer)","A (Supertropical), W (Monsoon), A2 (Very Hot Summer)","A (Supertropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Banjul, Gambia","A (Supertropical), W (Monsoon), A2 (Very Hot Summer)","A (Supertropical), S (Semiarid), A2 (Very Hot Summer)","A (Supertropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Basseterre, Saint Kitts and Nevis","A (Supertropical), G (Semihumid), A2 (Very Hot Summer)","A (Supertropical), M (Mediterranean), A2 (Very Hot Summer)","A (Supertropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Batman, Turkey","C (Subtropical), M (Mediterranean), Z1 (Scorching Hot Summer)","C (Subtropical), H (Humid), A2 (Very Hot Summer)","B (Tropical), W (Monsoon), A1 (Hot Summer)"
"Baton Rouge, LA","C (Subtropical), H (Humid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Behchoko, NT","F (Subarctic), B2 (Mild Summer)","F (Subarctic), G (Semihumid), B2 (Mild Summer)","E (Continental), G (Semihumid), A1 (Hot Summer)"
"Beijing, China","D (Temperate), W (Monsoon), A2 (Very Hot Summer)","D (Temperate), G (Semihumid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)"
"Beirut, Lebanon","B (Tropical), M (Mediterranean), A2 (Very Hot Summer)","B (Tropical), D (Arid Desert), A2 (Very Hot Summer)","B (Tropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Belgrade, Serbia","C (Subtropical), G (Semihumid), A1 (Hot Summer)","C (Subtropical), H (Humid), A1 (Hot Summer)","C (Subtropical), W (Monsoon), Z1 (Scorching Hot Summer)"
"Belmopan, Belize","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), W (Monsoon), Z1 (Scorching Hot Summer)"
"Berlin, Germany","D (Temperate), G (Semihumid), B2 (Mild Summer)","D (Temperate), H (Humid), B2 (Mild Summer)","D (Temperate), H (Humid), A2 (Very Hot Summer)"
"Bern, Switzerland","D (Temperate), H (Humid), B2 (Mild Summer)","D (Temperate), S (Semiarid), A1 (Hot Summer)","C (Subtropical), D (Arid Desert), A1 (Hot Summer)"
"Bethel, AK","E (Continental), B1 (Cold Summer)","A (Supertropical), G (Semihumid), Z1 (Scorching Hot Summer)","Z (Ultratropical), G (Semihumid), Z1 (Scorching Hot Summer)"
Bird Island Research Station,"D (Temperate), C1 (Freezing Summer)","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), W (Monsoon), Z2 (Hyperthermal Summer)"
"Bishkek, Kyrgyzstan","D (Temperate), S (Semiarid), A1 (Hot Summer)","D (Temperate), G (Semihumid), A1 (Hot Summer)","C (Subtropical), G (Semihumid), A1 (Hot Summer)"
"Bismarck, ND","E (Continental), S (Semiarid), A1 (Hot Summer)","D (Temperate), M (Mediterranean), B2 (Mild Summer)","D (Temperate), S (Semiarid), A2 (Very Hot Summer)"
"Bissau, Guinea-Bissau","A (Supertropical), W (Monsoon), A2 (Very Hot Summer)","A (Supertropical), S (Semiarid), A2 (Very Hot Summer)","A (Supertropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Bloemfontein, South Africa","C (Subtropical), S (Semiarid), A1 (Hot Summer)","C (Subtropical), M (Mediterranean), A1 (Hot Summer)","C (Subtropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Boise, ID","D (Temperate), M (Mediterranean), A1 (Hot Summer)","D (Temperate), G (Semihumid), A1 (Hot Summer)","C (Subtropical), G (Semihumid), A1 (Hot Summer)"
"Borujerd, Iran","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Boston, MA–NH","D (Temperate), H (Humid), A1 (Hot Summer)","D (Temperate), W (Monsoon), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)"
"Bourem, Mali","A (Supertropical), D (Arid Desert), Z1 (Scorching Hot Summer)","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), W (Monsoon), Z1 (Scorching Hot Summer)"
"Brades, Montserrat (UK)","A (Supertropical), G (Semihumid), A2 (Very Hot Summer)","A (Supertropical), S (Semiarid), A2 (Very Hot Summer)","A (Supertropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Brampton, ON","D (Temperate), H (Humid), A1 (Hot Summer)","D (Temperate), H (Humid), A1 (Hot Summer)","C (Subtropical), S (Semiarid), A2 (Very Hot Summer)"
"Brandon, MB","E (Continental), G (Semihumid), B2 (Mild Summer)","E (Continental), S (Semiarid), A1 (Hot Summer)","D (Temperate), G (Semihumid), A1 (Hot Summer)"
"Brasília, Brazil","B (Tropical), W (Monsoon), A1 (Hot Summer)","B (Tropical), M (Mediterranean), A1 (Hot Summer)","B (Tropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Bratislava, Slovakia","D (Temperate), G (Semihumid), B2 (Mild Summer)","D (Temperate), G (Semihumid), B2 (Mild Summer)","D (Temperate), H (Humid), A2 (Very Hot Summer)"
"Brazzaville, Congo","A (Supertropical), G (Semihumid), A2 (Very Hot Summer)","A (Supertropical), W (Monsoon), A2 (Very Hot Summer)","A (Supertropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Bridgetown, Barbados","A (Supertropical), S (Semiarid), A2 (Very Hot Summer)","A (Supertropical), D (Arid Desert), A2 (Very Hot Summer)","A (Supertropical), H (Humid), A2 (Very Hot Summer)"
"Brussels, Belgium","C (Subtropical), G (Semihumid), B2 (Mild Summer)","C (Subtropical), S (Semiarid), A1 (Hot Summer)","C (Subtropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Bucharest, Romania","D (Temperate), G (Semihumid), A1 (Hot Summer)","D (Temperate), H (Humid), A1 (Hot Summer)","C (Subtropical), G (Semihumid), A1 (Hot Summer)"
"Budapest, Hungary","D (Temperate), G (Semihumid), A1 (Hot Summer)","D (Temperate), H (Humid), A1 (Hot Summer)","C (Subtropical), G (Semihumid), A1 (Hot Summer)"
"Buenos Aires, Argentina","B (Tropical), G (Semihumid), A1 (Hot Summer)","B (Tropical), W (Monsoon), A1 (Hot Summer)","B (Tropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Buffalo, NY","D (Temperate), H (Humid), A1 (Hot Summer)","D (Temperate), H (Humid), A1 (Hot Summer)","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)"
"Bulgan, Mongolia","E (Continental), W (Monsoon), B2 (Mild Summer)","E (Continental), H (Humid), B2 (Mild Summer)","D (Temperate), H (Humid), B2 (Mild Summer)"
"Burnaby, BC","C (Subtropical), M (Mediterranean), B2 (Mild Summer)","C (Subtropical), M (Mediterranean), B2 (Mild Summer)","C (Subtropical), H (Humid), A2 (Very Hot Summer)"
"Cairo, Egypt","B (Tropical), D (Arid Desert), A2 (Very Hot Summer)","B (Tropical), H (Humid), A1 (Hot Summer)","B (Tropical), M (Mediterranean), Z1 (Scorching Hot Summer)"
"Calgary, AB","E (Continental), G (Semihumid), B2 (Mild Summer)","E (Continental), G (Semihumid), A1 (Hot Summer)","D (Temperate), S (Semiarid), A2 (Very Hot Summer)"
"Cambridge Bay, NU","G (Arctic), C2 (Very Cold Summer)","A (Supertropical), D (Arid Desert), Z1 (Scorching Hot Summer)","A (Supertropical), D (Arid Desert), X1 (Extreme Hyperthermal Summer)"
"Canberra, Australia","C (Subtropical), G (Semihumid), A1 (Hot Summer)","C (Subtropical), D (Arid Desert), A2 (Very Hot Summer)","C (Subtropical), W (Monsoon), Z1 (Scorching Hot Summer)"
"Cape Breton Regional Municipality, NS","D (Temperate), H (Humid), B2 (Mild Summer)","D (Temperate), S (Semiarid), A1 (Hot Summer)","C (Subtropical), H (Humid), B2 (Mild Summer)"
"Cape Town, South Africa","B (Tropical), M (Mediterranean), A1 (Hot Summer)","B (Tropical), H (Humid), B2 (Mild Summer)","B (Tropical), W (Monsoon), A2 (Very Hot Summer)"
"Caracas, Venezuela","B (Tropical), S (Semiarid), A1 (Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)","B (Tropical), M (Mediterranean), A2 (Very Hot Summer)"
"Carbondale, IL","D (Temperate), H (Humid), A2 (Very Hot Summer)","C (Subtropical), H (Humid), B1 (Cold Summer)","C (Subtropical), H (Humid), A2 (Very Hot Summer)"
"Carson City, NV","C (Subtropical), D (Arid Desert), A1 (Hot Summer)","C (Subtropical), M (Mediterranean), A1 (Hot Summer)","C (Subtropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Castries, Saint Lucia","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), G (Semihumid), A2 (Very Hot Summer)","A (Supertropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Ceuta, Ceuta (ES)","B (Tropical), M (Mediterranean), A1 (Hot Summer)","B (Tropical), W (Monsoon), B2 (Mild Summer)","B (Tropical), M (Mediterranean), A2 (Very Hot Summer)"
"Champaign, IL","D (Temperate), H (Humid), A1 (Hot Summer)","D (Temperate), H (Humid), A1 (Hot Summer)","C (Subtropical), D (Arid Desert), A2 (Very Hot Summer)"
"Chandrapur, India","A (Supertropical), W (Monsoon), Z2 (Hyperthermal Summer)","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Charleston, WV","D (Temperate), H (Humid), A1 (Hot Summer)","D (Temperate), H (Humid), A1 (Hot Summer)","C (Subtropical), S (Semiarid), A2 (Very Hot Summer)"
"Charlotte Amalie, U.S. Virgin Islands (US)","A (Supertropical), S (Semiarid), A2 (Very Hot Summer)","B (Tropical), D (Arid Desert), Z2 (Hyperthermal Summer)","A (Supertropical), G (Semihumid), A2 (Very Hot Summer)"
"Charlotte, NC–SC","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Charlottetown, PE","D (Temperate), H (Humid), B2 (Mild Summer)","D (Temperate), H (Humid), B2 (Mild Summer)","D (Temperate), H (Humid), A2 (Very Hot Summer)"
"Chena Ridge, AK","F (Subarctic), B2 (Mild Summer)","F (Subarctic), S (Semiarid), B2 (Mild Summer)","E (Continental), S (Semiarid), A1 (Hot Summer)"
"Chengdu, China","C (Subtropical), W (Monsoon), A2 (Very Hot Summer)","C (Subtropical), W (Monsoon), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Chennai, India","A (Supertropical), S (Semiarid), Z1 (Scorching Hot Summer)","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Cheyenne, WY","D (Temperate), S (Semiarid), A1 (Hot Summer)","D (Temperate), G (Semihumid), A1 (Hot Summer)","C (Subtropical), G (Semihumid), A1 (Hot Summer)"
"Chicago, United States","D (Temperate), H (Humid), A1 (Hot Summer)","D (Temperate), W (Monsoon), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)"
"Chișinău, Moldova","D (Temperate), S (Semiarid), A1 (Hot Summer)","D (Temperate), G (Semihumid), A1 (Hot Summer)","C (Subtropical), G (Semihumid), A1 (Hot Summer)"
"Chongqing, China","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Cincinnati, OH–KY","D (Temperate), H (Humid), A1 (Hot Summer)","D (Temperate), S (Semiarid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)"
"Cleveland, OH","D (Temperate), H (Humid), A1 (Hot Summer)","D (Temperate), M (Mediterranean), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)"
"Cockburn Town, Turks & Caicos (UK)","A (Supertropical), D (Arid Desert), A2 (Very Hot Summer)","B (Tropical), W (Monsoon), Z1 (Scorching Hot Summer)","A (Supertropical), W (Monsoon), A2 (Very Hot Summer)"
"College, AK","F (Subarctic), B2 (Mild Summer)","F (Subarctic), S (Semiarid), B2 (Mild Summer)","E (Continental), S (Semiarid), A1 (Hot Summer)"
"Columbia, SC","C (Subtropical), G (Semihumid), A2 (Very Hot Summer)","C (Subtropical), W (Monsoon), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Columbus, OH","D (Temperate), H (Humid), A1 (Hot Summer)","D (Temperate), S (Semiarid), A2 (Very Hot Summer)","C (Subtropical), W (Monsoon), A2 (Very Hot Summer)"
"Comodoro Rivadavia, Argentina","C (Subtropical), D (Arid Desert), B2 (Mild Summer)","C (Subtropical), D (Arid Desert), B2 (Mild Summer)","C (Subtropical), H (Humid), A2 (Very Hot Summer)"
"Conakry, Guinea","A (Supertropical), W (Monsoon), A2 (Very Hot Summer)","A (Supertropical), S (Semiarid), A2 (Very Hot Summer)","A (Supertropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Conception Bay South, NL","D (Temperate), B1 (Cold Summer)","F (Subarctic), C2 (Very Cold Summer)","Z (Ultratropical), S (Semiarid), Z2 (Hyperthermal Summer)"
"Concord, NH","D (Temperate), H (Humid), A1 (Hot Summer)","D (Temperate), H (Humid), A1 (Hot Summer)","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)"
"Copenhagen, Denmark","C (Subtropical), G (Semihumid), B2 (Mild Summer)","C (Subtropical), D (Arid Desert), A1 (Hot Summer)","C (Subtropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Coral Harbour, NU","F (Subarctic), C1 (Freezing Summer)","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), D (Arid Desert), X1 (Extreme Hyperthermal Summer)"
"Corner Brook, NL","D (Temperate), H (Humid), B2 (Mild Summer)","D (Temperate), H (Humid), B2 (Mild Summer)","D (Temperate), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Crystal City, TX","B (Tropical), D (Arid Desert), A2 (Very Hot Summer)","B (Tropical), W (Monsoon), A1 (Hot Summer)","B (Tropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Dakar, Senegal","A (Supertropical), D (Arid Desert), A2 (Very Hot Summer)","B (Tropical), G (Semihumid), Z1 (Scorching Hot Summer)","A (Supertropical), W (Monsoon), A2 (Very Hot Summer)"
"Dallas–Fort Worth–Arlington, TX","C (Subtropical), S (Semiarid), A2 (Very Hot Summer)","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Damascus, Syria","C (Subtropical), D (Arid Desert), A2 (Very Hot Summer)","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Delhi, India","B (Tropical), D (Arid Desert), Z1 (Scorching Hot Summer)","B (Tropical), G (Semihumid), A2 (Very Hot Summer)","B (Tropical), S (Semiarid), Z2 (Hyperthermal Summer)"
"Denver–Aurora, CO","D (Temperate), S (Semiarid), A1 (Hot Summer)","D (Temperate), G (Semihumid), A1 (Hot Summer)","C (Subtropical), G (Semihumid), A1 (Hot Summer)"
"Des Moines, IA","D (Temperate), G (Semihumid), A1 (Hot Summer)","D (Temperate), H (Humid), A1 (Hot Summer)","C (Subtropical), H (Humid), A1 (Hot Summer)"
"Detroit, MI","D (Temperate), G (Semihumid), A1 (Hot Summer)","D (Temperate), H (Humid), A1 (Hot Summer)","C (Subtropical), D (Arid Desert), A2 (Very Hot Summer)"
"Dhaka, Bangladesh","B (Tropical), W (Monsoon), A2 (Very Hot Summer)","B (Tropical), D (Arid Desert), A2 (Very Hot Summer)","B (Tropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Dieppe, NB","D (Temperate), H (Humid), B2 (Mild Summer)","D (Temperate), H (Humid), B2 (Mild Summer)","D (Temperate), W (Monsoon), Z1 (Scorching Hot Summer)"
"Dili, Timor-Leste","A (Supertropical), S (Semiarid), A2 (Very Hot Summer)","A (Supertropical), S (Semiarid), A1 (Hot Summer)","A (Supertropical), G (Semihumid), A2 (Very Hot Summer)"
"Djibouti, Djibouti","B (Tropical), D (Arid Desert), A2 (Very Hot Summer)","B (Tropical), G (Semihumid), A1 (Hot Summer)","B (Tropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Dodoma, Tanzania","B (Tropical), W (Monsoon), A1 (Hot Summer)","B (Tropical), S (Semiarid), A1 (Hot Summer)","B (Tropical), D (Arid Desert), Z1 (Scorching Hot Summer)"
"Doha, Qatar","B (Tropical), D (Arid Desert), Z1 (Scorching Hot Summer)","B (Tropical), G (Semihumid), A2 (Very Hot Summer)","B (Tropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Dongguan, China","B (Tropical), H (Humid), A2 (Very Hot Summer)","B (Tropical), G (Semihumid), A2 (Very Hot Summer)","B (Tropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Dover, DE","C (Subtropical), H (Humid), A1 (Hot Summer)","C (Subtropical), S (Semiarid), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Dubai, United Arab Emirates","B (Tropical), D (Arid Desert), Z1 (Scorching Hot Summer)","B (Tropical), G (Semihumid), A2 (Very Hot Summer)","B (Tropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Dublin, Ireland","C (Subtropical), H (Humid), B2 (Mild Summer)","C (Subtropical), M (Mediterranean), A1 (Hot Summer)","C (Subtropical), S (Semiarid), Z1 (Scorching Hot Summer)"
"Duluth, MN","E (Continental), H (Humid), B2 (Mild Summer)","E (Continental), G (Semihumid), A1 (Hot Summer)","D (Temperate), S (Semiarid), A2 (Very Hot Summer)"
"Dushanbe, Tajikistan","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)","C (Subtropical), G (Semihumid), Z1 (Scorching Hot Summer)"
"Edmonton, AB","E (Continental), G (Semihumid), B2 (Mild Summer)","E (Continental), G (Semihumid), A1 (Hot Summer)","D (Temperate), D (Arid Desert), A2 (Very Hot Summer)"
"El Menia, Algeria","B (Tropical), D (Arid Desert), Z1 (Scorching Hot Summer)","B (Tropical), G (Semihumid), A2 (Very Hot Summer)","B (Tropical), D (Arid Desert), Z2 (Hyperthermal Summer)"
"Eureka Research Station, NU","G (Arctic), Y (Frigid Summer)","A (Supertropical), H (Humid), A2 (Very Hot Summer)","A (Supertropical), W (Monsoon), Z2 (Hyperthermal Summer)"
"Fairbanks, AK","F (Subarctic), B2 (Mild Summer)","F (Subarctic), W (Monsoon), B2 (Mild Summer)","E (Continental), S (Semiarid), A1 (Hot Summer)"
"Fort Good Hope, NT","G (Arctic), B2 (Mild Summer)","F (Subarctic), S (Semiarid), B2 (Mild Summer)","E (Continental), S (Semiarid), A1 (Hot Summer)"
"Fort Providence, NT","F (Subarctic), B2 (Mild Summer)","F (Subarctic), G (Semihumid), B2 (Mild Summer)","E (Continental), W (Monsoon), A1 (Hot Summer)"
"Fort Simpson, NT","F (Subarctic), B2 (Mild Summer)","F (Subarctic), G (Semihumid), B2 (Mild Summer)","E (Continental), G (Semihumid), A1 (Hot Summer)"
"Fort Smith, NT","F (Subarctic), B2 (Mild Summer)","F (Subarctic), G (Semihumid), B2 (Mild Summer)","E (Continental), D (Arid Desert), A2 (Very Hot Summer)"
"Frankfort, KY","D (Temperate), H (Humid), A1 (Hot Summer)","D (Temperate), H (Humid), A1 (Hot Summer)","C (Subtropical), M (Mediterranean), A2 (Very Hot Summer)"
"Fredericton, NB","D (Temperate), H (Humid), B2 (Mild Summer)","D (Temperate), H (Humid), B2 (Mild Summer)","C (Subtropical), M (Mediterranean), B1 (Cold Summer)"
